n,median_time_ms
1498,2.17125
1499,2.1332
1500,2.12725
1501,2.12795
1502,2.1505
1503,2.14885
1504,2.13565
1505,2.1382
1506,2.13755
1507,2.1421
1508,2.17325
1509,2.1435
1510,2.19765
1511,2.1415
1512,2.15455
1513,2.15435
1514,2.1665
1515,2.18215
1516,2.1776
1517,2.1796
1518,2.19155
1519,2.17525
1520,2.205
1521,2.18125
1522,2.22325
1523,2.19055
1524,2.1844
1525,2.20185
1526,2.22735
1527,2.2104
1528,2.23125
1529,2.22175
1530,2.20305
1531,2.2252
1532,2.24
1533,2.226
1534,2.22545
1535,2.22845
1536,2.2234
1537,2.2331
1538,2.24265
1539,2.25055
1540,2.2508
1541,2.259
1542,2.2518
1543,2.2629
1544,2.27045
1545,2.2528
1546,2.25635
1547,2.2568
1548,2.2469
1549,2.27975
1550,2.27445
1551,2.2981
1552,2.27435
1553,2.2763
1554,2.2812
1555,2.3006
1556,2.2719
1557,2.2931
1558,2.28455
1559,2.29075
1560,2.28795
1561,2.32315
1562,2.31885
1563,2.3029
1564,2.29935
1565,2.3313
1566,2.33195
1567,2.32695
1568,2.31875
1569,2.32415
1570,2.321
1571,2.34225
1572,2.3468
1573,2.333
1574,2.3381
1575,2.34755
1576,2.3642
1577,2.3346
1578,2.3471
1579,2.363
1580,2.35835
1581,2.36125
1582,2.3654
1583,2.35885
1584,2.3664
1585,2.3883
1586,2.39175
1587,2.3843
1588,2.38055
1589,2.36405
1590,2.38095
1591,2.4286
1592,2.39275
1593,2.39455
1594,2.40385
1595,2.40765
1596,2.4102
1597,2.40205
1598,2.4006
1599,2.4169
1600,2.41855
1601,2.4177
1602,2.4113
1603,2.4157
1604,2.4362
1605,2.4538
1606,2.4305
1607,2.427
1608,2.4413
1609,3.05845
1610,2.4408
1611,2.4512
1612,2.4491
1613,2.4516
1614,2.44895
1615,2.4911
1616,2.45015
1617,2.462
1618,2.4631
1619,2.489
1620,2.4816
1621,2.4974
1622,2.48655
1623,2.5061
1624,2.52515
1625,2.498
1626,2.49605
1627,2.5003
1628,2.5147
1629,2.51355
1630,2.5222
1631,2.5267
1632,2.5196
1633,2.5196
1634,2.532
1635,2.5369
1636,2.5372
1637,2.53685
1638,2.52485
1639,2.5167
1640,2.5539
1641,2.54755
1642,2.55695
1643,2.5466
1644,2.5689
1645,2.5433
1646,2.55295
1647,2.57325
1648,2.584
1649,2.56305
1650,2.5895
1651,2.58315
1652,2.5665
1653,2.5826
1654,2.61285
1655,2.5945
1656,2.58845
1657,2.5917
1658,2.60685
1659,2.58045
1660,2.5941
1661,2.5976
1662,2.6196
1663,2.61265
1664,2.60885
1665,2.62445
1666,2.6365
1667,2.62635
1668,2.61855
1669,2.62535
1670,2.62105
1671,2.6381
1672,2.6303
1673,2.6494
1674,2.641
1675,2.6494
1676,2.6533
1677,2.64845
1678,2.655
1679,2.6718
1680,2.6613
1681,2.6955
1682,2.6721
1683,2.6889
1684,2.69525
1685,2.67315
1686,2.69105
1687,2.7095
1688,2.71135
1689,2.69965
1690,2.7249
1691,2.71435
1692,2.72895
1693,2.72555
1694,2.72995
1695,2.7601
1696,2.7542
1697,2.73085
1698,2.76085
1699,2.98955
1700,2.95
1701,2.8924
1702,2.84545
1703,3.08155
1704,2.84885
1705,2.86
1706,2.88025
1707,2.9096
1708,2.8078
1709,2.8361
1710,2.8815
1711,2.82385
1712,2.7789
1713,2.78875
1714,2.78405
1715,2.81345
1716,2.7905
1717,2.82525
1718,2.8093
1719,2.81755
1720,2.83325
1721,2.80605
1722,2.8042
1723,2.8029
1724,2.8117
1725,2.81905
1726,2.82435
1727,2.8152
1728,2.8304
1729,2.8387
1730,2.838
1731,2.869
1732,2.8793
1733,2.8518
1734,2.86555
1735,2.8426
1736,2.85175
1737,2.86345
1738,2.85235
1739,2.85095
1740,2.8698
1741,2.8969
1742,2.8804
1743,2.90635
1744,2.85645
1745,2.8851
1746,2.88785
1747,2.91215
1748,2.914
1749,2.8983
